,accumulate return
1725,0.06237
1726,0.04156
1727,0.06705
1728,0.01683
1729,0.05054
1730,0.06
1731,0.03168
1732,0.01352
1733,0.0617
1734,0.0764
1735,0.05003
1736,0.08228
1737,0.04231
1738,0.01896
1739,0.01852
1740,0.04573
1741,0.03739
1742,0.012
1743,0.07754
1744,0.0529
1745,0.09571
1746,0.07356
1747,0.01618
1748,0.03306
1749,0.05762
1750,0.00688
1751,0.07003
1752,0.07947
1753,0.02987
1754,0.04035
1755,0.06995
1756,0.06168
1757,0.02389
1758,0.05807
1759,0.01826
1760,0.05959
1761,0.05642
1762,0.055
1763,0.0149
1764,0.0538
1765,0.04547
1766,0.02442
1767,0.02362
1768,0.05239
1769,0.0561
1770,0.04067
1771,0.09329
1772,0.07933
1773,0.06144
1774,0.07462
1775,0.0849
1776,0.04225
1777,0.06142
1778,0.04084
1779,0.06946
